battery,cycle,time_s,voltage_v,current_a,temperature_c,capacity_ah,soc_actual,soc_predicted,soc_error
B0018,3,930.813,0.6706827243326907,-0.3179281762084683,-0.7019705426280649,1.8550045207910817,0.72432333,0.69272685,0.03159648
B0018,3,940.188,0.6631472602064535,-0.3169765501082995,-0.6948468900667445,1.8550045207910817,0.7215029,0.6907345,0.030768394
B0018,3,949.578,0.6553345721480903,-0.316942155093711,-0.6905756077927736,1.8550045207910817,0.7186784,0.6886319,0.030046523
B0018,3,958.953,0.6477648981411563,-0.3140928872067435,-0.6867696727457957,1.8550045207910817,0.71585953,0.6866613,0.02919823
B0018,3,968.313,0.6400416813100253,-0.3191570853657515,-0.679696837643394,1.8550045207910817,0.7130443,0.684391,0.028653264
B0018,3,977.703,0.6326306700819929,-0.3199904728316678,-0.6756054027402175,1.8550045207910817,0.71021765,0.68165797,0.028559685
B0018,3,987.063,0.6256552071577808,-0.3166460196450967,-0.6688519806177304,1.8550045207910817,0.7074011,0.6784196,0.028981507
B0018,3,996.391,0.6176392150844712,-0.3208963514723708,-0.6598362466380115,1.8550045207910817,0.7045938,0.674804,0.029789805
B0018,3,1005.797,0.6100983196116818,-0.316559040567353,-0.6551561340539673,1.8550045207910817,0.70176303,0.671044,0.030719042
B0018,3,1015.156,0.6027080786243793,-0.3192254156579961,-0.6525397595854139,1.8550045207910817,0.6989471,0.6674253,0.031521797
B0018,3,1024.516,0.5959398208075951,-0.3190931642435023,-0.6451544115957817,1.8550045207910817,0.69612986,0.66417,0.03195983
B0018,3,1033.891,0.588418778110436,-0.3211510542116872,-0.6371371449603015,1.8550045207910817,0.69330734,0.6613419,0.031965435
B0018,3,1043.266,0.5804624407310919,-0.3162586093422708,-0.6282262164515642,1.8550045207910817,0.69048595,0.65883404,0.031651914
B0018,3,1052.641,0.5735747862203148,-0.3181136517225127,-0.6234376786817271,1.8550045207910817,0.68766576,0.6563249,0.031340837
B0018,3,1062.031,0.5661236413217327,-0.3187528345311458,-0.6166018670626904,1.8550045207910817,0.68484,0.65336174,0.031478286
B0018,3,1071.375,0.5584831607755993,-0.3176375285668944,-0.6081902129016762,1.8550045207910817,0.68202835,0.6498373,0.032191038
B0018,3,1080.781,0.5520360072694375,-0.3196819354845727,-0.6002786128402411,1.8550045207910817,0.67919767,0.64621514,0.03298253
B0018,3,1090.266,0.5444343487279325,-0.3155569988622143,-0.5954508350614021,1.8550045207910817,0.67634404,0.64291865,0.03342539
B0018,3,1099.672,0.5371884147099923,-0.3195233244530399,-0.5887344529556331,1.8550045207910817,0.67351425,0.6400182,0.033496022
B0018,3,1109.156,0.5301610393071667,-0.321311867446825,-0.5831144023406422,1.8550045207910817,0.67065865,0.63739216,0.033266485
B0018,3,1118.516,0.5230315284848823,-0.3168264954275357,-0.5741210084386513,1.8550045207910817,0.6678415,0.6349119,0.0329296
B0018,3,1127.906,0.515177445666277,-0.3168945862837448,-0.5699214570779734,1.8550045207910817,0.66501707,0.6324803,0.032536745
B0018,3,1137.328,0.5080903380466154,-0.3176137716479861,-0.5619096853788195,1.8550045207910817,0.6621826,0.6300078,0.032174826
B0018,3,1146.735,0.5017314702978992,-0.3203179662733433,-0.5566348312642851,1.8550045207910817,0.6593514,0.6274598,0.031891584
B0018,3,1156.11,0.4943828436976917,-0.316232256636743,-0.5493029488472646,1.8550045207910817,0.6565304,0.6248746,0.03165579
B0018,3,1165.578,0.4874954540542624,-0.3137582956851784,-0.5419606089695033,1.8550045207910817,0.65368396,0.62233984,0.031344116
B0018,3,1174.985,0.4805829027930114,-0.3126307989617901,-0.5345866257155487,1.8550045207910817,0.65085727,0.61992896,0.030928314
B0018,3,1184.485,0.4726251603552311,-0.3159250268036784,-0.5291099954903636,1.8550045207910817,0.6480018,0.617646,0.030355811
B0018,3,1193.875,0.4669046624931973,-0.315470339264607,-0.5234788916078893,1.8550045207910817,0.64517826,0.6153619,0.02981633
B0018,3,1203.281,0.4592723335781732,-0.318665789792564,-0.5162678447863337,1.8550045207910817,0.6423488,0.61287004,0.029478788
B0018,3,1212.672,0.4523807660068323,-0.3183908860313913,-0.5073208534160776,1.8550045207910817,0.6395228,0.6099575,0.029565275
B0018,3,1222.078,0.4455580576712445,-0.3182498523080986,-0.5022966792941853,1.8550045207910817,0.63669235,0.60653627,0.030156076
B0018,3,1231.516,0.43892002206991,-0.3199407768498006,-0.4915991220289141,1.8550045207910817,0.6338517,0.60272586,0.031125844
B0018,3,1240.906,0.4316745104293064,-0.3150323246707611,-0.4868494081739778,1.8550045207910817,0.63102674,0.5987606,0.03226614
B0018,3,1250.297,0.4250748583070232,-0.3139439828494231,-0.4800290948146749,1.8550045207910817,0.62820387,0.5949089,0.033294976
B0018,3,1259.672,0.41896707919764,-0.3186716990192393,-0.473894792633395,1.8550045207910817,0.6253844,0.59132427,0.03406012
B0018,3,1269.063,0.4112047213255229,-0.312456603301552,-0.4695675245371504,1.8550045207910817,0.6225606,0.58810025,0.034460366
B0018,3,1278.406,0.4034140191529842,-0.3183496618156535,-0.4606649365261749,1.8550045207910817,0.61975145,0.5851779,0.034573555
B0018,3,1287.781,0.3978834564156989,-0.3202745275296901,-0.4531732930692518,1.8550045207910817,0.6169296,0.5823899,0.0345397
B0018,3,1297.188,0.3907666262736726,-0.3160596479124569,-0.4473099305965439,1.8550045207910817,0.61409897,0.5795105,0.034588456
B0018,3,1306.641,0.3848247796783549,-0.3139520821390029,-0.4379829102830851,1.8550045207910817,0.6112571,0.5763451,0.03491199
B0018,3,1316.047,0.3772573803972395,-0.3196292855660829,-0.4296854318319341,1.8550045207910817,0.6084279,0.5728318,0.035596073
B0018,3,1325.438,0.3702946374116834,-0.3195882092418688,-0.4232565032369813,1.8550045207910817,0.60560095,0.5690185,0.03658247
B0018,3,1334.797,0.3641049313476432,-0.3191146599724684,-0.4178038136711414,1.8550045207910817,0.60278386,0.5649601,0.037823737
B0018,3,1344.235,0.3572551702745348,-0.3172162159651286,-0.4111881198257643,1.8550045207910817,0.59994394,0.5607494,0.039194524
B0018,3,1353.641,0.351191489252339,-0.317105080481574,-0.405002436942236,1.8550045207910817,0.5971144,0.55654365,0.040570736
B0018,3,1363.016,0.3447583486001822,-0.3142438449428874,-0.3975500656435395,1.8550045207910817,0.5942954,0.55252415,0.041771233
B0018,3,1372.438,0.3379615103511945,-0.3168651521632939,-0.3928500937611527,1.8550045207910817,0.5914624,0.5487644,0.042697966
B0018,3,1381.86,0.3315459802170633,-0.3184531601450893,-0.3839633360307118,1.8550045207910817,0.58862764,0.5453582,0.043269455
B0018,3,1391.25,0.3246368895000773,-0.3177412518480844,-0.3802103850384068,1.8550045207910817,0.5858022,0.5423516,0.043450594
B0018,3,1400.703,0.3185569790772653,-0.3172942137881124,-0.3685373284993825,1.8550045207910817,0.5829583,0.5397387,0.043219566
B0018,3,1410.094,0.3121958493008178,-0.3132267990216066,-0.3628739767579844,1.8550045207910817,0.5801348,0.5374843,0.04265052
B0018,3,1419.469,0.3051831359903468,-0.315325366832949,-0.3569326845530748,1.8550045207910817,0.57731694,0.53552604,0.041790903
B0018,3,1428.828,0.2996074124296627,-0.3142548383536214,-0.3477433313389971,1.8550045207910817,0.5745034,0.5337539,0.04074955
B0018,3,1438.219,0.2931901573992063,-0.3193024823930437,-0.3439428637908961,1.8550045207910817,0.57167876,0.53205234,0.03962642
B0018,3,1447.578,0.2864557182338089,-0.3198153352384409,-0.3366293645347726,1.8550045207910817,0.5688615,0.53023934,0.03862214
B0018,3,1456.938,0.2806769430745284,-0.3169065965804173,-0.33358194771013,1.8550045207910817,0.56604487,0.5281558,0.037889063
B0018,3,1466.281,0.2736510123577238,-0.3142403864765685,-0.3261547636791994,1.8550045207910817,0.5632356,0.525774,0.03746158
B0018,3,1475.641,0.2676941601472121,-0.3124107028464359,-0.3205564594419127,1.8550045207910817,0.5604229,0.5231757,0.03724718
B0018,3,1485.063,0.2612916100322447,-0.3173299969314368,-0.3130179577430056,1.8550045207910817,0.5575904,0.5204923,0.03709811
B0018,3,1494.422,0.2556301314270736,-0.3147046401939588,-0.3075783991949281,1.8550045207910817,0.55477595,0.5177472,0.03702873
B0018,3,1503.797,0.2486474914617123,-0.3158942078271897,-0.300617742624948,1.8550045207910817,0.55195725,0.5148908,0.03706646
B0018,3,1513.188,0.2426909545612191,-0.3201611535744271,-0.2939026735632656,1.8550045207910817,0.5491316,0.51181656,0.03731501
B0018,3,1522.641,0.2367478812954374,-0.3128048095221356,-0.2893450481051942,1.8550045207910817,0.5462885,0.5084605,0.03782797
B0018,3,1532.031,0.2309875052381299,-0.3175047826511331,-0.2822214660326283,1.8550045207910817,0.5434654,0.5048134,0.038652003
B0018,3,1541.344,0.2254512127408073,-0.3172830945546127,-0.2757342257068311,1.8550045207910817,0.54066366,0.5009116,0.039752066
B0018,3,1550.781,0.2186904352766716,-0.3151533662718512,-0.2701085405460476,1.8550045207910817,0.5378256,0.49685732,0.04096827
B0018,3,1560.188,0.2136980634382309,-0.3160489730181633,-0.2640233021179958,1.8550045207910817,0.53499705,0.49276677,0.04223028
